,AC,Reserved,General,Female,Male
147,S21A13P16_parsed.csv,56,948,492,507
148,S21A23P5_parsed.csv,38,401,197,229
149,S21A29P4_parsed.csv,48,414,242,216
150,S21A30P3_parsed.csv,34,270,143,145
151,S21A4P16_parsed.csv,110,968,503,570
152,S21A11P10_parsed.csv,19,258,141,131
153,S21A14P9_parsed.csv,96,377,239,229
154,S21A8P7_parsed.csv,50,726,364,402
155,S21A16P2_parsed.csv,63,673,352,376
156,S21A1P19_parsed.csv,108,882,497,467
157,S21A16P11_parsed.csv,83,641,344,376
158,S21A10P19_parsed.csv,14,154,89,79
159,S21A21P6_parsed.csv,148,708,433,414
160,S21A21P13_parsed.csv,125,848,470,496
161,S21A12P6_parsed.csv,49,695,346,393
162,S21A9P2_parsed.csv,237,579,411,399
163,S21A30P19_parsed.csv,112,165,144,131
164,S21A9P19_parsed.csv,146,487,278,343
165,S21A29P12_parsed.csv,70,605,322,342
166,S21A13P2_parsed.csv,72,682,352,398
167,S21A32P46_parsed.csv,7,53,0,59
168,S21A20P25_parsed.csv,26,343,197,165
169,S21A16P21_parsed.csv,61,716,403,369
170,S21A20P15_parsed.csv,227,840,507,550
171,S21A15P13_parsed.csv,76,877,452,483
172,S21A4P6_parsed.csv,164,683,396,448
173,S21A27P9_parsed.csv,97,677,350,404
174,S21A23P12_parsed.csv,136,956,522,559
175,S21A30P17_parsed.csv,317,376,362,327
176,S21A26P4_parsed.csv,77,655,372,354
177,S21A16P8_parsed.csv,71,625,335,354
178,S21A1P12_parsed.csv,42,192,96,133
179,S21A26P7_parsed.csv,143,706,351,491
180,S21A4P3_parsed.csv,14,196,108,100
181,S21A19P10_parsed.csv,90,660,377,362
182,S21A28P12_parsed.csv,142,993,578,542
183,S21A1P6_parsed.csv,171,612,361,410
184,S21A2P10_parsed.csv,129,479,307,289
185,S21A16P3_parsed.csv,21,444,222,240
186,S21A29P9_parsed.csv,15,146,82,76
187,S21A29P18_parsed.csv,70,842,509,399
188,S21A20P9_parsed.csv,71,653,346,372
189,S21A9P4_parsed.csv,101,685,366,415
190,S21A2P8_parsed.csv,193,568,387,366
191,S21A21P16_parsed.csv,104,623,350,366
192,S21A16P20_parsed.csv,54,554,299,303
193,S21A26P10_parsed.csv,105,865,489,472
194,S21A10P15_parsed.csv,49,516,280,281
195,S21A3P13_parsed.csv,38,596,301,327
196,S21A29P5_parsed.csv,52,987,520,511
197,S21A22P7_parsed.csv,23,666,326,356
198,S21A1P15_parsed.csv,48,374,213,181
199,S21A30P16_parsed.csv,59,327,204,178
200,S21A3P20_parsed.csv,48,548,281,311
201,S21A9P16_parsed.csv,48,726,396,372
202,S21A28P14_parsed.csv,83,1152,620,602
203,S21A29P7_parsed.csv,11,248,139,119
204,S21A19P5_parsed.csv,59,522,269,307
205,S21A15P2_parsed.csv,104,676,367,406
206,S21A32P38_parsed.csv,7,39,1,45
207,S21A32P24_parsed.csv,24,95,1,117
208,S21A23P18_parsed.csv,19,158,83,90
209,S21A3P9_parsed.csv,91,396,231,250
210,S21A32P13_parsed.csv,10,86,1,95
211,S21A32P2_parsed.csv,8,52,0,60
212,S21A28P15_parsed.csv,96,1036,581,543
213,S21A28P11_parsed.csv,110,849,429,520
214,S21A6P13_parsed.csv,108,760,418,445
215,S21A15P6_parsed.csv,114,959,527,532
216,S21A32P14_parsed.csv,8,23,1,30
217,S21A3P14_parsed.csv,41,562,302,295
218,S21A2P14_parsed.csv,94,656,352,392
219,S21A32P29_parsed.csv,15,49,3,61
220,S21A16P1_parsed.csv,53,316,173,190
221,S21A23P14_parsed.csv,84,609,313,376
222,S21A16P17_parsed.csv,77,580,311,334
223,S21A19P1_parsed.csv,18,382,200,194
224,S21A13P18_parsed.csv,88,402,242,243
225,S21A30P12_parsed.csv,61,375,202,229
226,S21A14P19_parsed.csv,45,787,399,427
227,S21A23P6_parsed.csv,113,878,484,491
228,S21A30P13_parsed.csv,27,184,112,97
229,S21A18P17_parsed.csv,120,1052,526,642
230,S21A1P1_parsed.csv,135,738,439,426
231,S21A20P14_parsed.csv,54,317,181,175
232,S21A13P10_parsed.csv,91,566,321,321
233,S21A32P34_parsed.csv,6,21,0,27
234,S21A16P9_parsed.csv,110,784,440,450
235,S21A23P10_parsed.csv,106,946,522,519
236,S21A24P21_parsed.csv,27,478,251,244
237,S21A29P16_parsed.csv,47,310,190,160
238,S21A4P1_parsed.csv,66,370,210,222
239,S21A21P10_parsed.csv,94,766,432,421
240,S21A28P9_parsed.csv,115,737,426,418
241,S21A1P4_parsed.csv,275,779,490,558
242,S21A6P8_parsed.csv,103,845,464,472
243,S21A5P8_parsed.csv,130,870,504,488
244,S21A7P12_parsed.csv,135,675,373,433
245,S21A22P10_parsed.csv,91,832,474,440
246,S21A6P12_parsed.csv,84,640,338,381
247,S21A12P16_parsed.csv,61,677,365,366
248,S21A5P2_parsed.csv,165,666,413,413
249,S21A6P18_parsed.csv,46,670,353,357
250,S21A7P16_parsed.csv,92,817,437,464
251,S21A32P5_parsed.csv,19,124,0,142
252,S21A32P27_parsed.csv,5,29,1,33
253,S21A32P42_parsed.csv,60,381,8,431
254,S21A30P6_parsed.csv,26,214,113,124
255,S21A6P16_parsed.csv,88,765,430,412
256,S21A22P14_parsed.csv,39,376,201,204
257,S21A14P6_parsed.csv,41,752,422,366
258,S21A23P8_parsed.csv,38,500,241,290
259,S21A28P8_parsed.csv,112,824,466,462
260,S21A28P17_parsed.csv,94,480,286,278
261,S21A6P3_parsed.csv,200,858,518,529
262,S21A3P15_parsed.csv,14,386,190,203
263,S21A24P5_parsed.csv,62,601,336,321
264,S21A19P7_parsed.csv,62,523,274,306
265,S21A12P11_parsed.csv,64,907,485,481
266,S21A15P5_parsed.csv,144,982,544,572
267,S21A3P1_parsed.csv,114,630,367,372
268,S21A26P1_parsed.csv,153,1125,587,689
269,S21A22P3_parsed.csv,42,747,360,412
270,S21A22P9_parsed.csv,68,929,505,478
271,S21A2P12_parsed.csv,60,768,385,443
272,S21A3P21_parsed.csv,174,425,312,281
273,S21A16P22_parsed.csv,42,705,370,369
274,S21A2P5_parsed.csv,70,428,275,219
275,S21A3P4_parsed.csv,107,413,272,242
276,S21A10P11_parsed.csv,90,788,459,414
277,S21A21P14_parsed.csv,124,702,421,399
278,S21A3P7_parsed.csv,68,513,265,310
279,S21A25P7_parsed.csv,114,1177,617,667
280,S21A10P14_parsed.csv,59,542,308,292
281,S21A9P17_parsed.csv,29,442,226,242
282,S21A5P12_parsed.csv,37,443,218,261
283,S21A24P12_parsed.csv,88,982,531,526
284,S21A16P15_parsed.csv,55,731,410,371
285,S21A18P15_parsed.csv,85,557,300,337
286,S21A31P4_parsed.csv,58,524,303,268
287,S21A30P10_parsed.csv,41,159,116,76
288,S21A5P11_parsed.csv,175,752,463,458
289,S21A12P18_parsed.csv,46,571,307,305
290,S21A11P13_parsed.csv,148,849,470,515
291,S21A29P11_parsed.csv,124,1037,537,607
292,S21A3P2_parsed.csv,134,550,347,330
293,S21A28P3_parsed.csv,15,344,183,171
294,S21A27P5_parsed.csv,127,1022,548,594
295,S21A7P8_parsed.csv,49,461,275,231
296,S21A25P3_parsed.csv,95,993,560,522
297,S21A21P1_parsed.csv,79,492,280,284
298,S21A28P10_parsed.csv,78,721,383,402
299,S21A2P13_parsed.csv,52,898,449,483
300,S21A12P15_parsed.csv,84,691,369,397
301,S21A7P13_parsed.csv,123,944,543,519
302,S21A4P11_parsed.csv,69,673,363,379
303,S21A25P4_parsed.csv,93,1043,557,567
304,S21A15P4_parsed.csv,158,733,430,455
305,S21A16P7_parsed.csv,47,459,226,277
306,S21A11P4_parsed.csv,22,606,339,286
307,S21A10P2_parsed.csv,23,458,257,219
308,S21A16P16_parsed.csv,183,818,502,483
309,S21A9P8_parsed.csv,74,551,294,328
310,S21A18P9_parsed.csv,91,806,434,451
311,S21A17P1_parsed.csv,66,434,243,252
312,S21A29P14_parsed.csv,49,422,269,200
313,S21A21P9_parsed.csv,38,239,133,143
314,S21A14P5_parsed.csv,75,819,471,416
315,S21A31P6_parsed.csv,67,515,304,267
316,S21A11P8_parsed.csv,44,710,374,374
317,S21A2P16_parsed.csv,138,422,271,281
318,S21A19P4_parsed.csv,20,526,250,288
319,S21A7P3_parsed.csv,167,577,370,367
320,S21A32P18_parsed.csv,7,42,14,35
321,S21A29P6_parsed.csv,56,404,237,219
322,S21A16P4_parsed.csv,25,297,152,168
323,S21A24P8_parsed.csv,43,579,317,297
324,S21A3P10_parsed.csv,66,480,282,258
325,S21A2P1_parsed.csv,299,587,439,440
326,S21A17P4_parsed.csv,39,666,367,329
327,S21A3P5_parsed.csv,149,693,410,425
328,S21A10P1_parsed.csv,100,693,377,411
329,S21A31P12_parsed.csv,90,460,224,275
330,S21A29P15_parsed.csv,71,451,311,207
331,S21A9P9_parsed.csv,40,553,272,313
332,S21A12P17_parsed.csv,37,539,278,284
333,S21A10P3_parsed.csv,25,443,220,245
334,S21A6P2_parsed.csv,137,463,293,303
335,S21A27P4_parsed.csv,74,623,312,378
336,S21A7P14_parsed.csv,84,1000,523,554
337,S21A8P11_parsed.csv,57,563,309,305
338,S21A18P16_parsed.csv,124,667,367,418
339,S21A6P9_parsed.csv,146,833,523,452
340,S21A2P2_parsed.csv,134,356,238,243
341,S21A3P6_parsed.csv,106,853,463,491
342,S21A12P4_parsed.csv,108,659,378,371
343,S21A13P17_parsed.csv,81,612,359,328
344,S21A2P17_parsed.csv,58,601,319,333
345,S21A3P18_parsed.csv,232,620,442,406
346,S21A32P36_parsed.csv,2,30,2,30
