,AC,Reserved,General,Female,Male
1485,11_S17A11P28_parsed.csv,17,70,38,49
1486,34_S17A34P30_parsed.csv,69,490,303,255
1487,57_S17A57P28_parsed.csv,107,293,202,194
1488,47_S17A47P1_parsed.csv,203,560,377,380
1489,40_S17A40P18_parsed.csv,51,194,124,119
1490,12_S17A12P39_parsed.csv,91,371,248,204
1491,5_S17A5P45_parsed.csv,19,117,66,70
1492,3_S17A3P22_parsed.csv,90,553,314,326
1493,40_S17A40P15_parsed.csv,83,198,147,130
1494,7_S17A7P2_parsed.csv,165,406,294,252
1495,55_S17A55P7_parsed.csv,131,534,330,335
1496,43_S17A43P3_parsed.csv,121,312,225,205
1497,7_S17A7P5_parsed.csv,50,158,88,112
1498,39_S17A39P33_parsed.csv,110,438,245,302
1499,50_S17A50P44_parsed.csv,77,209,129,156
1500,31_S17A31P7_parsed.csv,41,423,244,220
1501,21_S17A21P14_parsed.csv,97,443,249,290
1502,50_S17A50P40_parsed.csv,148,200,159,186
1503,25_S17A25P4_parsed.csv,283,789,531,525
1504,32_S17A32P10_parsed.csv,81,705,384,401
1505,16_S17A16P24_parsed.csv,124,669,409,383
1506,9_S17A9P4_parsed.csv,144,582,392,327
1507,56_S17A56P8_parsed.csv,118,328,216,223
1508,48_S17A48P4_parsed.csv,147,592,357,377
1509,3_S17A3P20_parsed.csv,44,216,131,127
1510,18_S17A18P23_parsed.csv,123,831,492,457
1511,6_S17A6P5_parsed.csv,118,339,221,232
1512,57_S17A57P10_parsed.csv,220,356,276,292
1513,4_S17A4P62_parsed.csv,247,853,528,562
1514,9_S17A9P34_parsed.csv,107,315,202,214
1515,57_S17A57P24_parsed.csv,314,612,462,453
1516,56_S17A56P23_parsed.csv,55,105,68,89
1517,38_S17A38P10_parsed.csv,136,422,275,274
1518,3_S17A3P40_parsed.csv,135,515,320,325
1519,5_S17A5P47_parsed.csv,88,498,259,326
1520,24_S17A24P10_parsed.csv,134,440,303,262
1521,39_S17A39P9_parsed.csv,188,509,350,347
