,AC,Reserved,General,Female,Male
396,36_S05A36P31_parsed.csv,43,472,265,242
397,18_S05A18P21_parsed.csv,70,656,354,370
398,3_S05A3P40_parsed.csv,60,757,403,403
399,13_S05A13P26_parsed.csv,90,812,447,448
400,2_S05A2P4_parsed.csv,98,568,326,337
401,30_S05A30P33_parsed.csv,47,553,318,273
402,36_S05A36P37_parsed.csv,7,694,319,376
403,13_S05A13P15_parsed.csv,99,629,395,322
404,31_S05A31P22_parsed.csv,75,928,460,540
405,10_S05A10P3_parsed.csv,52,406,238,219
406,24_S05A24P10_parsed.csv,75,938,479,513
407,5_S05A5P38_parsed.csv,58,478,243,290
408,8_S05A8P27_parsed.csv,73,616,355,332
409,33_S05A33P7_parsed.csv,59,848,446,457
410,15_S05A15P2_parsed.csv,93,618,374,325
411,9_S05A9P12_parsed.csv,84,698,397,381
412,40_S05A40P7_parsed.csv,57,810,441,414
413,14_S05A14P33_parsed.csv,83,615,369,317
414,38_S05A38P1_parsed.csv,7,331,161,175
415,30_S05A30P41_parsed.csv,93,730,424,392
416,3_S05A3P6_parsed.csv,19,559,284,291
417,7_S05A7P3_parsed.csv,72,601,329,338
418,21_S05A21P19_parsed.csv,62,758,389,414
419,31_S05A31P13_parsed.csv,111,763,413,427
420,1_S05A1P43_parsed.csv,141,840,488,480
421,6_S05A6P11_parsed.csv,53,468,279,241
422,35_S05A35P43_parsed.csv,31,391,202,216
423,16_S05A16P10_parsed.csv,85,756,403,430
424,21_S05A21P42_parsed.csv,91,698,392,392
425,12_S05A12P24_parsed.csv,72,496,307,258
426,18_S05A18P27_parsed.csv,62,438,249,251
427,7_S05A7P28_parsed.csv,150,840,418,566
428,27_S05A27P24_parsed.csv,82,640,338,382
429,17_S05A17P11_parsed.csv,55,533,293,283
430,40_S05A40P52_parsed.csv,21,346,188,171
431,33_S05A33P11_parsed.csv,56,402,233,222
432,13_S05A13P32_parsed.csv,82,646,384,332
433,36_S05A36P41_parsed.csv,14,820,391,431
434,32_S05A32P38_parsed.csv,92,549,318,315
435,30_S05A30P23_parsed.csv,129,847,501,470
436,33_S05A33P33_parsed.csv,68,869,462,460
437,14_S05A14P28_parsed.csv,27,232,148,103
438,5_S05A5P3_parsed.csv,78,768,421,421
439,1_S05A1P16_parsed.csv,128,741,417,441
440,16_S05A16P5_parsed.csv,31,557,298,290
441,5_S05A5P36_parsed.csv,53,557,304,296
442,35_S05A35P18_parsed.csv,80,598,349,324
443,3_S05A3P34_parsed.csv,39,491,251,261
444,28_S05A28P6_parsed.csv,62,699,401,355
445,27_S05A27P13_parsed.csv,59,720,360,416
446,19_S05A19P12_parsed.csv,30,635,335,328
447,16_S05A16P23_parsed.csv,20,587,316,287
448,5_S05A5P25_parsed.csv,42,467,252,251
449,22_S05A22P17_parsed.csv,85,417,257,234
450,38_S05A38P4_parsed.csv,35,963,502,481
451,1_S05A1P39_parsed.csv,23,489,266,241
452,6_S05A6P17_parsed.csv,79,723,405,396
453,13_S05A13P20_parsed.csv,76,640,368,333
454,23_S05A23P25_parsed.csv,85,539,325,294
455,35_S05A35P36_parsed.csv,77,611,345,336
456,21_S05A21P16_parsed.csv,92,513,287,308
457,39_S05A39P21_parsed.csv,46,425,232,229
458,9_S05A9P8_parsed.csv,109,939,532,511
459,9_S05A9P39_parsed.csv,80,616,345,349
460,9_S05A9P7_parsed.csv,78,797,451,421
461,25_S05A25P17_parsed.csv,70,530,319,274
462,38_S05A38P24_parsed.csv,66,819,433,443
463,38_S05A38P16_parsed.csv,40,558,307,284
464,4_S05A4P16_parsed.csv,91,443,265,252
465,16_S05A16P8_parsed.csv,99,699,410,387
