,AC,Reserved,General,Female,Male
11933,AC37_U05A37P92_parsed.csv,143,1100,573,661
11934,AC34_U05A34P316_parsed.csv,110,1189,622,669
11935,AC49_U05A49P131_parsed.csv,187,1150,576,758
11936,AC45_U05A45P26_parsed.csv,116,1144,601,647
11937,AC29_U05A29P128_parsed.csv,80,1082,558,601
11938,AC28_U05A28P106_parsed.csv,112,1289,692,701
11939,AC18_U05A18P11_parsed.csv,200,1116,611,695
11940,AC61_U05A61P36_parsed.csv,57,777,400,431
11941,AC3_U05A3P113_parsed.csv,93,947,504,532
11942,AC67_U05A67P115_parsed.csv,97,1167,597,657
11943,AC26_U05A26P83_parsed.csv,151,663,350,463
11944,AC14_U05A14P150_parsed.csv,274,873,398,749
11945,AC17_U05A17P8_parsed.csv,130,540,221,442
11946,AC54_U05A54P237_parsed.csv,203,1152,500,850
11947,AC30_U05A30P13_parsed.csv,158,911,453,610
11948,AC68_U05A68P99_parsed.csv,122,704,349,476
11949,AC22_U05A22P2_parsed.csv,147,1091,599,614
11950,AC69_U05A69P36_parsed.csv,118,700,348,468
11951,AC66_U05A66P143_parsed.csv,154,882,475,554
11952,AC27_U05A27P18_parsed.csv,113,678,323,464
11953,AC20_U05A20P47_parsed.csv,49,678,306,414
11954,AC70_U05A70P106_parsed.csv,191,1178,617,745
11955,AC1_U05A1P9_parsed.csv,118,527,306,338
11956,AC31_U05A31P65_parsed.csv,153,702,382,468
11957,AC53_U05A53P115_parsed.csv,183,1155,537,797
11958,AC54_U05A54P137_parsed.csv,107,1212,460,856
11959,AC39_U05A39P102_parsed.csv,98,683,344,433
11960,AC34_U05A34P115_parsed.csv,109,861,489,479
11961,AC31_U05A31P302_parsed.csv,53,668,349,371
11962,AC29_U05A29P11_parsed.csv,153,1086,600,628
11963,AC3_U05A3P181_parsed.csv,117,695,384,425
11964,AC52_U05A52P122_parsed.csv,157,981,468,669
11965,AC2_U05A2P78_parsed.csv,196,1183,575,801
11966,AC20_U05A20P97_parsed.csv,83,847,436,494
11967,AC43_U05A43P91_parsed.csv,76,620,311,381
11968,AC11_U05A11P148_parsed.csv,196,872,462,604
11969,AC34_U05A34P328_parsed.csv,180,1097,564,706
11970,AC53_U05A53P104_parsed.csv,199,1154,553,792
11971,AC66_U05A66P152_parsed.csv,116,748,377,477
11972,AC16_U05A16P154_parsed.csv,96,892,473,504
11973,AC11_U05A11P80_parsed.csv,72,1085,563,578
11974,AC13_U05A13P87_parsed.csv,72,1162,625,607
11975,AC65_U05A65P105_parsed.csv,56,592,311,335
11976,AC3_U05A3P83_parsed.csv,146,963,462,643
11977,AC46_U05A46P110_parsed.csv,141,788,379,545
11978,AC39_U05A39P115_parsed.csv,158,1157,612,693
11979,AC1_U05A1P243_parsed.csv,102,551,302,347
11980,AC49_U05A49P137_parsed.csv,206,1183,620,760
11981,AC31_U05A31P40_parsed.csv,200,1221,660,751
11982,AC57_U05A57P69_parsed.csv,151,994,530,612
11983,AC32_U05A32P24_parsed.csv,191,1216,631,771
11984,AC43_U05A43P14_parsed.csv,105,1135,603,627
11985,AC40_U05A40P30_parsed.csv,96,698,343,437
11986,AC64_U05A64P169_parsed.csv,133,1081,546,660
11987,AC5_U05A5P105_parsed.csv,159,829,418,558
