,AC,Reserved,General,Female,Male
127,A001_A0010058_parsed.csv,106,473,0,576
128,A053_A0530041_parsed.csv,19,546,273,287
129,A016_A0160012_parsed.csv,75,316,0,381
130,A021_A0210002_parsed.csv,59,319,197,176
131,A004_A0040006_parsed.csv,132,356,247,238
132,A003_A0030006_parsed.csv,215,531,0,731
133,A018_A0180033_parsed.csv,65,571,0,632
134,A019_A0190022_parsed.csv,59,608,664,1
135,A056_A0560039_parsed.csv,19,350,187,182
136,A027_A0270022_parsed.csv,110,332,0,430
137,A016_A0160007_parsed.csv,81,542,617,0
138,A047_A0470029_parsed.csv,23,892,467,445
139,A024_A0240028_parsed.csv,129,583,0,706
140,A048_A0480016_parsed.csv,13,535,270,278
141,A059_A0590018_parsed.csv,33,629,311,348
142,A040_A0400026_parsed.csv,18,516,266,268
143,A011_A0110023_parsed.csv,127,503,296,323
144,A019_A0190038_parsed.csv,61,474,530,0
145,A042_A0420015_parsed.csv,28,936,0,960
146,A052_A0520013_parsed.csv,14,757,394,377
147,A040_A0400022_parsed.csv,18,686,334,369
148,A049_A0490025_parsed.csv,4,632,301,333
149,A042_A0420006_parsed.csv,16,984,454,532
150,A031_A0310040_parsed.csv,154,572,721,0
151,A042_A0420044_parsed.csv,12,377,0,386
152,A044_A0440008_parsed.csv,4,449,216,234
153,A043_A0430028_parsed.csv,12,482,230,261
154,A004_A0040017_parsed.csv,142,338,233,242
155,A009_A0090043_parsed.csv,59,211,134,134
156,A024_A0240007_parsed.csv,139,629,0,761
157,A040_A0400027_parsed.csv,29,933,460,502
158,A013_A0130046_parsed.csv,76,353,200,222
159,A020_A0200030_parsed.csv,222,661,874,0
160,A036_A0360052_parsed.csv,94,584,328,344
161,A005_A0050068_parsed.csv,129,484,610,0
162,A054_A0540014_parsed.csv,22,789,409,402
163,A034_A0340004_parsed.csv,146,320,203,254
164,A019_A0190021_parsed.csv,75,608,0,676
165,A028_A0280013_parsed.csv,227,463,357,327
166,A024_A0240047_parsed.csv,103,379,0,474
167,A028_A0280007_parsed.csv,199,278,473,0
168,A056_A0560021_parsed.csv,46,615,321,338
169,A008_A0080022_parsed.csv,95,494,292,289
170,A041_A0410017_parsed.csv,23,640,318,345
171,A052_A0520037_parsed.csv,28,1002,534,489
172,A007_A0070050_parsed.csv,131,552,1,671
173,A035_A0350030_parsed.csv,103,649,384,361
174,A006_A0060022_parsed.csv,171,700,0,865
175,A030_A0300020_parsed.csv,183,547,368,352
176,A018_A0180034_parsed.csv,53,474,521,0
177,A010_A0100070_parsed.csv,60,406,219,238
178,A025_A0250019_parsed.csv,110,389,0,488
179,A049_A0490034_parsed.csv,11,627,319,314
180,A055_A0550032_parsed.csv,80,484,0,560
181,A027_A0270067_parsed.csv,161,708,423,427
182,A046_A0460030_parsed.csv,21,728,376,372
183,A005_A0050055_parsed.csv,184,621,379,421
184,A047_A0470016_parsed.csv,40,686,360,363
185,A025_A0250064_parsed.csv,94,417,0,500
186,A043_A0430010_parsed.csv,18,709,340,382
187,A039_A0390028_parsed.csv,29,844,445,420
188,A022_A0220033_parsed.csv,152,464,0,608
189,A048_A0480043_parsed.csv,65,573,292,341
190,A054_A0540030_parsed.csv,153,639,0,790
191,A013_A0130034_parsed.csv,108,758,859,1
192,A006_A0060049_parsed.csv,136,581,0,712
193,A044_A0440004_parsed.csv,8,690,329,360
194,A007_A0070058_parsed.csv,52,305,193,160
195,A015_A0150066_parsed.csv,70,349,0,409
196,A051_A0510037_parsed.csv,26,608,332,297
197,A054_A0540011_parsed.csv,85,513,598,0
198,A011_A0110004_parsed.csv,48,136,99,82
199,A042_A0420010_parsed.csv,33,921,463,468
200,A003_A0030036_parsed.csv,329,516,835,2
201,A027_A0270003_parsed.csv,20,88,55,53
202,A004_A0040041_parsed.csv,206,579,386,391
203,A055_A0550040_parsed.csv,35,626,331,324
204,A024_A0240034_parsed.csv,77,416,482,4
205,A044_A0440020_parsed.csv,15,675,686,0
206,A011_A0110032_parsed.csv,163,742,438,458
207,A009_A0090012_parsed.csv,92,565,332,322
208,A022_A0220013_parsed.csv,120,488,604,0
209,A009_A0090028_parsed.csv,76,226,145,153
210,A012_A0120048_parsed.csv,69,231,147,148
211,A016_A0160037_parsed.csv,121,644,758,0
212,A003_A0030005_parsed.csv,108,583,688,0
213,A058_A0580034_parsed.csv,11,672,310,367
214,A028_A0280012_parsed.csv,186,537,372,347
215,A026_A0260008_parsed.csv,89,423,252,249
216,A051_A0510009_parsed.csv,102,446,0,541
217,A035_A0350053_parsed.csv,37,653,334,346
218,A048_A0480003_parsed.csv,29,729,363,392
219,A012_A0120016_parsed.csv,114,555,346,314
220,A034_A0340037_parsed.csv,178,428,291,303
221,A022_A0220052_parsed.csv,164,340,250,250
222,A031_A0310042_parsed.csv,119,248,173,183
223,A001_A0010056_parsed.csv,134,748,444,434
224,A057_A0570019_parsed.csv,20,630,306,342
225,A005_A0050054_parsed.csv,227,763,474,505
226,A028_A0280025_parsed.csv,124,344,0,446
227,A024_A0240037_parsed.csv,279,548,406,407
228,A013_A0130009_parsed.csv,170,674,0,833
229,A059_A0590012_parsed.csv,23,568,285,303
230,A009_A0090032_parsed.csv,138,470,605,0
231,A004_A0040021_parsed.csv,142,411,1,541
232,A053_A0530039_parsed.csv,17,611,320,302
233,A032_A0320060_parsed.csv,81,439,255,258
234,A006_A0060026_parsed.csv,180,481,0,655
235,A031_A0310041_parsed.csv,125,548,328,338
236,A023_A0230018_parsed.csv,123,551,666,2
237,A028_A0280004_parsed.csv,194,377,0,555
238,A044_A0440007_parsed.csv,5,732,350,382
239,A021_A0210055_parsed.csv,122,605,718,1
240,A025_A0250060_parsed.csv,119,351,0,462
241,A002_A0020038_parsed.csv,230,1319,1537,0
242,A023_A0230023_parsed.csv,127,555,667,1
243,A015_A0150013_parsed.csv,89,564,643,1
244,A048_A0480030_parsed.csv,32,831,421,439
245,A032_A0320037_parsed.csv,71,278,182,162
246,A035_A0350015_parsed.csv,59,190,112,131
